GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,FGM,PTS
31,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,4,1,4:45,10.0,0,1.1,0.8,2,made,"Holiday, Justin",203200,2.8,1,2
32,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,5,1,3:40,20.4,3,2.7,3.7,2,made,"Holiday, Justin",203200,3.2,1,2
33,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,6,1,2:16,20.9,3,3.9,4.1,2,made,"Green, Draymond",203110,2.1,1,2
34,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,7,2,11:16,12.2,0,1.0,24.8,3,made,"Livingston, Shaun",2733,7.4,1,3
35,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,8,2,6:51,9.6,3,3.0,21.5,2,missed,"Barnes, Harrison",203084,4.1,0,0
36,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,9,2,4:19,9.1,0,4.3,7.8,2,missed,"Thompson, Klay",202691,0.9,0,0
37,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,10,2,2:40,7.6,4,5.7,13.8,2,made,"Thompson, Klay",202691,2.0,1,2
38,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,11,2,0:54,12.0,2,5.2,12.5,2,made,"Green, Draymond",203110,3.0,1,2
39,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,12,3,11:44,7.7,2,3.5,10.9,2,missed,"Barnes, Harrison",203084,1.7,0,0
40,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,13,3,9:19,10.1,1,2.6,16.6,2,missed,"Barnes, Harrison",203084,3.5,0,0
41,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,14,3,5:59,11.3,3,3.7,5.6,2,missed,"Barnes, Harrison",203084,0.7,0,0
42,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,15,3,5:32,13.1,0,0.6,3.8,2,missed,"Curry, Stephen",201939,0.8,0,0
43,0021401192,"APR 11, 2015 - MIN @ GSW",A,L,-9,16,4,8:09,10.6,0,2.3,25.6,3,missed,"Thompson, Klay",202691,3.9,0,0
44,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,1,1,11:19,5.7,1,2.8,8.0,2,missed,"Johnson, Wesley",202325,3.5,0,0
45,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,2,1,11:16,24.0,0,0.8,0.2,2,made,"Johnson, Wesley",202325,2.0,1,2
46,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,3,1,9:45,14.6,6,5.7,20.2,2,missed,"Johnson, Wesley",202325,3.3,0,0
47,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,4,1,5:31,16.6,0,2.7,22.0,2,missed,"Kelly, Ryan",203527,5.0,0,0
48,0021401186,"APR 10, 2015 - MIN @ LAL",A,L,-8,5,1,4:22,7.0,1,2.2,7.5,2,missed,"Johnson, Wesley",202325,1.2,0,0
